time,IPLA,IPref,ECEcore,SSXcore,LI,Q95,ZMAG,Vloop,IPE,Instability,Window
0.028,-52848.477,-0.030765533,594.21124,0.0030518621,0.56070346,14.721497,-0.03197057,-13.021408,-52848.445,0,1
0.029,-54610.52,-0.030765533,594.21124,0.0022888929,0.56070346,14.721497,-0.03197057,-13.539573,-54610.49,0,1
0.03,-56940.99,-0.030765533,594.21124,0.0030518621,0.56070346,14.721497,-0.03197057,-13.380624,-56940.957,0,1
0.031,-59598.527,-0.030765533,594.21124,0.0027466714,0.56070346,14.721497,-0.03197057,-13.339972,-59598.496,0,1
0.032,-62124.883,-0.030765533,594.21124,0.0028992593,0.56070346,14.721497,-0.03197057,-12.703513,-62124.85,0,1
0.033,-63490.758,-0.030765533,594.21124,0.0024414957,0.56070346,14.721497,-0.03197057,-12.823473,-63490.727,0,1
0.034,-67382.86,-0.030765533,594.21124,0.0016785264,0.56070346,14.721497,-0.03197057,-12.943101,-67382.83,0,1
0.035,-69670.95,-0.030765533,594.21124,0.0018311143,0.56070346,14.721497,-0.03197057,-13.022408,-69670.92,0,1
0.036,-71041.48,-0.030765533,594.21124,0.0016785264,0.56070346,14.721497,-0.03197057,-13.740173,-71041.445,0,1
0.037,-73349.07,-0.030765533,594.21124,0.0016785264,0.56070346,14.721497,-0.03197057,-12.625871,-73349.04,0,1
0.038,-76771.34,-0.030765533,594.21124,0.0024414808,0.56070346,14.721497,-0.03197057,-12.824472,-76771.31,0,1
0.039,-78720.44,-0.030765533,594.21124,0.0028992593,0.56070346,14.721497,-0.03197057,-13.260997,-78720.41,0,1
0.04,-80642.164,-0.030765533,594.21124,0.0028992593,0.56070346,14.721497,-0.03197057,-12.982088,-80642.13,0,1
0.041,-84276.88,-0.030765533,594.21124,0.00320445,0.56070346,14.721497,-0.03197057,-12.503578,-84276.85,0,1
0.042,-86700.68,-0.030765533,594.21124,0.0036622286,0.56070346,14.721497,-0.03197057,-12.703513,-86700.65,0,1
0.043,-87061.72,-0.030765533,594.21124,0.00320445,0.56070346,14.721497,-0.03197057,-13.499585,-87061.69,0,1
0.044,-91561.58,-0.030765533,594.21124,0.0028992593,0.56070346,14.721497,-0.03197057,-12.345296,-91561.55,0,1
0.045,-93494.86,-0.030765533,594.21124,0.0019837022,0.56070346,14.721497,-0.03197057,-12.702847,-93494.83,0,1
0.046,-98994.05,-0.030765533,594.21124,0.0018311143,0.56070346,14.721497,-0.03197057,-11.4285965,-98994.016,0,1
0.047,-99835.086,-0.030765533,594.21124,0.0016785264,0.56070346,14.721497,-0.03197057,-12.265323,-99835.055,0,1
0.048,-102409.16,-0.030765533,594.21124,0.0015259385,0.56070346,14.721497,-0.03197057,-11.985748,-102409.125,0,2
0.049,-103900.305,-0.030765533,594.21124,0.0019837022,0.56070346,14.721497,-0.03197057,-12.1853485,-103900.27,0,2
