time,IPLA,IPref,ECEcore,SSXcore,LI,Q95,ZMAG,Vloop,IPE,Instability,Window
0.064,-184305.31,-0.030765533,598.0039,0.0018311143,0.5927335,13.832668,-0.0012416292,-11.626865,-184305.28,0,3
0.065,-187139.78,-0.030765533,598.0039,0.0024414957,0.5927335,13.832668,-0.0012416292,-11.42793,-187139.75,0,3
0.066,-188881.83,-0.030765533,598.0039,0.00091557205,0.5927335,13.832668,-0.0012416292,-11.786479,-188881.8,0,3
0.067,-192938.73,-0.030765533,598.0039,0.002136305,0.5927335,13.832668,-0.0012416292,-11.030394,-192938.7,0,3
0.068,-193318.08,-0.030765533,598.0039,0.0022888929,0.5927335,13.832668,-0.0012416292,-11.547558,-193318.05,0,3
0.069,-196193.3,-0.030765533,598.0039,0.0012207478,0.5927335,13.832668,-0.0012416292,-11.308302,-196193.27,0,3
0.07,-199415.0,-0.030765533,598.0039,0.002136305,0.5927335,13.832668,-0.0012416292,-11.07038,-199414.97,0,3
0.071,-199985.44,-0.030765533,598.0039,0.0015259236,0.5927335,13.832668,-0.0012416292,-11.9460945,-199985.4,0,3
0.072,-204918.95,-0.030765533,598.0039,0.00091555715,0.5927335,13.832668,-0.0012416292,-11.348622,-204918.92,0,3
0.073,-206736.84,-0.030765533,598.0039,0.0018311143,0.5927335,13.832668,-0.0012416292,-11.54889,-206736.81,0,3
0.074,-208663.4,-0.030765533,598.0039,0.0022889078,0.5927335,13.832668,-0.0012416292,-11.349289,-208663.38,0,3
0.075,-211519.89,-0.030765533,598.0039,0.0016785264,0.5927335,13.832668,-0.0012416292,-10.871445,-211519.86,0,3
0.076,-215281.52,-0.030765533,598.0039,0.0024414808,0.5927335,13.832668,-0.0012416292,-9.835784,-215281.48,0,3
0.077,-216662.34,-0.030765533,598.0039,0.0015259385,0.5927335,13.832668,-0.0012416292,-11.308969,-216662.31,0,3
0.078,-217920.28,-0.030765533,598.0039,0.0015259385,0.5927335,13.832668,-0.0012416292,-11.388943,-217920.25,0,3
0.079,-220614.92,-0.030765533,598.0039,0.0024414808,0.5927335,13.832668,-0.0012416292,-10.871113,-220614.89,0,3
0.08,-223252.86,-0.030765533,598.0039,0.002136305,0.5927335,13.832668,-0.0012416292,-11.110033,-223252.83,0,3
0.081,-225397.45,-0.030765533,598.0039,0.00091555715,0.5927335,13.832668,-0.0012416292,-11.109035,-225397.42,0,3
0.082,-227812.72,-0.030765533,598.0039,0.002136305,0.5927335,13.832668,-0.0012416292,-10.473908,-227812.69,0,4
0.083,-229570.03,-0.030765533,598.0039,0.0019837022,0.5927335,13.832668,-0.0012416292,-11.349289,-229570.0,0,4
0.084,-232121.89,-0.030765533,598.0039,0.00076296926,0.5927335,13.832668,-0.0012416292,-11.4679165,-232121.86,0,4
